creative,uid,length,music0_mturk,music1_mturk,music2_mturk,music3_mturk,music4_mturk,music1_pred,music2_pred,music3_pred,music4_pred
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,30,0,0,1,0,0,1,0,0,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,30,0,0,1,0,0,1,0,0,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,30,0,0,1,0,0,1,0,0,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,30,0,1,1,0,1,1,0,0,1
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,30,0,1,0,0,1,1,0,0,1
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,30,0,1,0,0,1,1,0,0,1
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,30,0,1,0,0,1,1,0,0,1
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,30,0,1,0,0,1,1,0,0,1
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,30,0,1,0,0,1,1,0,0,1
GOV/CT FOLEY CONNECTICUT LOST,c7cUwGf10T0,30,1,1,0,0,1,0,0,1,1
GOV/CT FOLEY CONNECTICUT LOST,c7cUwGf10T0,30,0,0,0,1,1,0,0,1,1
GOV/CT FOLEY CONNECTICUT LOST,c7cUwGf10T0,30,0,1,0,1,1,0,0,1,1
GOV/CT FOLEY CONNECTICUT LOST,c7cUwGf10T0,30,0,1,0,0,1,0,0,1,1
GOV/CT FOLEY CONNECTICUT LOST,c7cUwGf10T0,30,0,1,0,0,1,0,0,1,1
GOV/CT FOLEY LESLIE,xRdAqQWBdew,30,0,0,0,1,1,0,1,1,0
GOV/CT FOLEY LESLIE,xRdAqQWBdew,30,0,0,1,0,0,0,1,1,0
GOV/CT FOLEY LESLIE,xRdAqQWBdew,30,0,0,0,1,1,0,1,1,0
GOV/CT FOLEY LESLIE,xRdAqQWBdew,30,0,0,1,0,0,0,1,1,0
GOV/CT FOLEY LESLIE,xRdAqQWBdew,30,0,0,1,0,0,0,1,1,0
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,30,0,1,0,0,1,0,1,0,0
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER&DPOG A LOT OF POLITICIANS,6QzB1Kwrzjo,30,0,0,0,1,1,0,1,0,0
GOV/GA CARTER&DPOG A LOT OF POLITICIANS,6QzB1Kwrzjo,30,0,1,0,0,1,0,1,0,0
GOV/GA CARTER&DPOG A LOT OF POLITICIANS,6QzB1Kwrzjo,30,0,1,0,0,1,0,1,0,0
GOV/GA CARTER&DPOG A LOT OF POLITICIANS,6QzB1Kwrzjo,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER&DPOG A LOT OF POLITICIANS,6QzB1Kwrzjo,30,0,0,0,1,1,0,1,0,0
GOV/GA CARTER&DPOG GEORGIA IS READY,2t3aql-wPC8,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER&DPOG GEORGIA IS READY,2t3aql-wPC8,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER&DPOG GEORGIA IS READY,2t3aql-wPC8,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER&DPOG GEORGIA IS READY,2t3aql-wPC8,30,0,0,1,0,0,0,1,0,0
GOV/GA CARTER&DPOG GEORGIA IS READY,2t3aql-wPC8,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL SUCCESS,Bo5dNLOXZ4c,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL SUCCESS,Bo5dNLOXZ4c,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL SUCCESS,Bo5dNLOXZ4c,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL SUCCESS,Bo5dNLOXZ4c,30,0,0,1,0,0,0,1,0,0
GOV/GA DEAL SUCCESS,Bo5dNLOXZ4c,30,0,0,1,0,0,0,1,0,0
GOV/HI AIONA MIDDLE CLASS,w__Xj25qWbU,30,0,0,1,0,0,1,1,0,0
GOV/HI AIONA MIDDLE CLASS,w__Xj25qWbU,30,0,0,1,0,0,1,1,0,0
GOV/HI AIONA MIDDLE CLASS,w__Xj25qWbU,30,0,0,1,0,0,1,1,0,0
GOV/HI AIONA MIDDLE CLASS,w__Xj25qWbU,30,0,0,0,1,1,1,1,0,0
GOV/HI AIONA MIDDLE CLASS,w__Xj25qWbU,30,0,0,1,0,0,1,1,0,0
GOV/IA BRANSTAD HARDEST WORKING MAN,wTeRReEqfWk,30,0,0,1,0,0,0,1,0,0
GOV/IA BRANSTAD HARDEST WORKING MAN,wTeRReEqfWk,30,0,0,1,0,0,0,1,0,0
GOV/IA BRANSTAD HARDEST WORKING MAN,wTeRReEqfWk,30,0,0,1,0,0,0,1,0,0
GOV/IA BRANSTAD HARDEST WORKING MAN,wTeRReEqfWk,30,0,0,1,0,0,0,1,0,0
GOV/IA BRANSTAD HARDEST WORKING MAN,wTeRReEqfWk,30,0,0,1,0,0,0,1,0,0
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,30,0,0,1,0,0,0,0,0,1
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,30,0,0,0,1,1,0,0,0,1
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,30,0,0,1,0,0,0,0,0,1
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,30,0,0,1,0,0,0,0,0,1
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,30,0,0,1,0,0,0,0,0,1
GOV/ID OTTER FACTS DON'T LIE,-Z-5Ulb01Ek,30,0,0,1,0,0,1,1,0,1
GOV/ID OTTER FACTS DON'T LIE,-Z-5Ulb01Ek,30,0,0,1,0,0,1,1,0,1
GOV/ID OTTER FACTS DON'T LIE,-Z-5Ulb01Ek,30,0,0,1,0,0,1,1,0,1
GOV/ID OTTER FACTS DON'T LIE,-Z-5Ulb01Ek,30,0,1,1,0,1,1,1,0,1
GOV/ID OTTER FACTS DON'T LIE,-Z-5Ulb01Ek,30,0,0,1,0,0,1,1,0,1
GOV/ID OTTER PROUD CONSERVATIVE,YlUl8GYevN0,30,0,0,1,0,0,0,1,0,0
GOV/ID OTTER PROUD CONSERVATIVE,YlUl8GYevN0,30,0,0,1,0,0,0,1,0,0
GOV/ID OTTER PROUD CONSERVATIVE,YlUl8GYevN0,30,0,0,1,0,0,0,1,0,0
GOV/ID OTTER PROUD CONSERVATIVE,YlUl8GYevN0,30,0,0,1,0,0,0,1,0,0
GOV/ID OTTER PROUD CONSERVATIVE,YlUl8GYevN0,30,0,0,1,0,0,0,1,0,0
GOV/IL QUINN DAVID THOMPSON,HGHK81A9I64,30,0,0,0,1,1,0,0,1,1
GOV/IL QUINN DAVID THOMPSON,HGHK81A9I64,30,0,0,0,1,1,0,0,1,1
GOV/IL QUINN DAVID THOMPSON,HGHK81A9I64,30,0,0,0,1,1,0,0,1,1
GOV/IL QUINN DAVID THOMPSON,HGHK81A9I64,30,0,0,0,1,1,0,0,1,1
GOV/IL QUINN DAVID THOMPSON,HGHK81A9I64,30,0,0,0,1,1,0,0,1,1
GOV/IL QUINN LUXURY HOMES,7KVWr5y5rD8,30,0,1,0,0,1,0,1,1,1
GOV/IL QUINN LUXURY HOMES,7KVWr5y5rD8,30,0,1,0,0,1,0,1,1,1
GOV/IL QUINN LUXURY HOMES,7KVWr5y5rD8,30,0,1,0,0,1,0,1,1,1
GOV/IL QUINN LUXURY HOMES,7KVWr5y5rD8,30,0,1,0,0,1,0,1,1,1
GOV/IL QUINN LUXURY HOMES,7KVWr5y5rD8,30,0,0,1,0,0,0,1,1,1
GOV/IL QUINN VERY FIRST TIME,j_--xUwn9ww,30,0,0,0,1,1,0,1,0,0
GOV/IL QUINN VERY FIRST TIME,j_--xUwn9ww,30,0,0,1,1,1,0,1,0,0
GOV/IL QUINN VERY FIRST TIME,j_--xUwn9ww,30,0,0,0,1,1,0,1,0,0
GOV/IL QUINN VERY FIRST TIME,j_--xUwn9ww,30,0,0,0,1,1,0,1,0,0
GOV/IL QUINN VERY FIRST TIME,j_--xUwn9ww,30,0,0,1,0,0,0,1,0,0
GOV/IL QUINN YOU KNOW ME,Zznmnu6xTo0,30,0,0,1,0,0,0,1,0,0
GOV/IL QUINN YOU KNOW ME,Zznmnu6xTo0,30,0,0,1,0,0,0,1,0,0
GOV/IL QUINN YOU KNOW ME,Zznmnu6xTo0,30,0,0,1,0,0,0,1,0,0
GOV/IL QUINN YOU KNOW ME,Zznmnu6xTo0,30,0,0,1,0,0,0,1,0,0
GOV/IL QUINN YOU KNOW ME,Zznmnu6xTo0,30,0,0,1,0,0,0,1,0,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,30,0,0,1,0,0,0,1,0,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,30,0,0,1,1,1,0,1,0,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,30,0,0,1,0,0,0,1,0,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,30,0,0,1,0,0,0,1,0,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,30,0,0,1,0,0,0,1,0,0
GOV/IN GREGG INDIANA EXPERIENCE,-wY9qGcDZJk,30,0,0,1,0,0,0,1,1,0
GOV/IN GREGG INDIANA EXPERIENCE,-wY9qGcDZJk,30,0,0,1,0,0,0,1,1,0
GOV/IN GREGG INDIANA EXPERIENCE,-wY9qGcDZJk,30,0,0,1,0,0,0,1,1,0
GOV/IN GREGG INDIANA EXPERIENCE,-wY9qGcDZJk,30,0,0,1,0,0,0,1,1,0
GOV/IN GREGG INDIANA EXPERIENCE,-wY9qGcDZJk,30,0,0,1,0,0,0,1,1,0
GOV/IN PENCE EDUCATION GOVERNOR,O3t6vKkWA5w,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE EDUCATION GOVERNOR,O3t6vKkWA5w,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE EDUCATION GOVERNOR,O3t6vKkWA5w,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE EDUCATION GOVERNOR,O3t6vKkWA5w,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE EDUCATION GOVERNOR,O3t6vKkWA5w,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE HONORABLE WORK,0bxn2-8VULA,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE HONORABLE WORK,0bxn2-8VULA,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE HONORABLE WORK,0bxn2-8VULA,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE HONORABLE WORK,0bxn2-8VULA,30,0,0,1,0,0,0,1,0,0
GOV/IN PENCE HONORABLE WORK,0bxn2-8VULA,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR ACCOUNTABILITY,gwWDmoPi_S0,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR ACCOUNTABILITY,gwWDmoPi_S0,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR ACCOUNTABILITY,gwWDmoPi_S0,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR ACCOUNTABILITY,gwWDmoPi_S0,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR ACCOUNTABILITY,gwWDmoPi_S0,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR ECONOMIC INCENTIVES,SFS8ktdghEw,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR ECONOMIC INCENTIVES,SFS8ktdghEw,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR ECONOMIC INCENTIVES,SFS8ktdghEw,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR ECONOMIC INCENTIVES,SFS8ktdghEw,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR ECONOMIC INCENTIVES,SFS8ktdghEw,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,30,0,0,0,1,1,0,0,1,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,30,0,0,0,1,1,0,0,1,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,30,0,0,0,1,1,0,0,1,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,30,0,0,1,0,0,0,0,1,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,30,0,1,0,0,1,0,0,1,1
GOV/KY BESHEAR PROGRESS,Lt94JTrBYas,30,0,1,0,0,1,0,1,0,0
GOV/KY BESHEAR PROGRESS,Lt94JTrBYas,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR PROGRESS,Lt94JTrBYas,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR PROGRESS,Lt94JTrBYas,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR PROGRESS,Lt94JTrBYas,30,0,0,1,0,0,0,1,0,0
GOV/KY BESHEAR STEADY HAND,2F7JfCJxu3E,30,0,0,1,1,1,0,1,0,1
GOV/KY BESHEAR STEADY HAND,2F7JfCJxu3E,30,0,0,1,1,1,0,1,0,1
GOV/KY BESHEAR STEADY HAND,2F7JfCJxu3E,30,0,0,1,0,0,0,1,0,1
GOV/KY BESHEAR STEADY HAND,2F7JfCJxu3E,30,0,0,1,0,0,0,1,0,1
GOV/KY BESHEAR STEADY HAND,2F7JfCJxu3E,30,0,0,1,0,0,0,1,0,1
GOV/KY BESHEAR VALUE OF LEADERSHIP,a92E3D9RDIA,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR VALUE OF LEADERSHIP,a92E3D9RDIA,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR VALUE OF LEADERSHIP,a92E3D9RDIA,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR VALUE OF LEADERSHIP,a92E3D9RDIA,30,0,0,1,0,0,1,1,0,1
GOV/KY BESHEAR VALUE OF LEADERSHIP,a92E3D9RDIA,30,0,0,1,0,0,1,1,0,1
GOV/KY WILLIAMS TEAM,95BuLhAuQt0,30,0,1,0,0,1,1,1,0,1
GOV/KY WILLIAMS TEAM,95BuLhAuQt0,30,0,1,0,0,1,1,1,0,1
GOV/KY WILLIAMS TEAM,95BuLhAuQt0,30,0,0,1,1,1,1,1,0,1
GOV/KY WILLIAMS TEAM,95BuLhAuQt0,30,0,1,1,0,1,1,1,0,1
GOV/KY WILLIAMS TEAM,95BuLhAuQt0,30,0,1,1,0,1,1,1,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,30,0,1,0,0,1,1,0,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,30,0,1,0,0,1,1,0,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,30,0,0,1,1,1,1,0,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,30,0,1,0,0,1,1,0,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,30,0,1,0,0,1,1,0,0,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,30,0,0,1,0,0,0,1,0,0
GOV/ME LEPAGE KEEP,85tS6kA8MoI,30,0,0,1,0,0,0,1,0,0
GOV/ME LEPAGE KEEP,85tS6kA8MoI,30,0,0,1,0,0,0,1,0,0
GOV/ME LEPAGE KEEP,85tS6kA8MoI,30,0,0,1,0,0,0,1,0,0
GOV/ME LEPAGE KEEP,85tS6kA8MoI,30,0,0,1,0,0,0,1,0,0
GOV/ME MICHAUD DON MCCORMACK,WDQj3L7XUkg,30,0,0,1,0,0,0,1,0,0
GOV/ME MICHAUD DON MCCORMACK,WDQj3L7XUkg,30,0,1,0,0,1,0,1,0,0
GOV/ME MICHAUD DON MCCORMACK,WDQj3L7XUkg,30,0,0,1,0,0,0,1,0,0
GOV/ME MICHAUD DON MCCORMACK,WDQj3L7XUkg,30,0,0,1,0,0,0,1,0,0
GOV/ME MICHAUD DON MCCORMACK,WDQj3L7XUkg,30,0,0,1,0,0,0,1,0,0
GOV/ME MICHAUD FOUR YEARS,xR7VBq7At7Q,30,0,0,0,1,1,0,1,0,1
GOV/ME MICHAUD FOUR YEARS,xR7VBq7At7Q,30,0,1,0,0,1,0,1,0,1
GOV/ME MICHAUD FOUR YEARS,xR7VBq7At7Q,30,0,0,1,1,1,0,1,0,1
GOV/ME MICHAUD FOUR YEARS,xR7VBq7At7Q,30,0,1,1,0,1,0,1,0,1
GOV/ME MICHAUD FOUR YEARS,xR7VBq7At7Q,30,0,0,1,1,1,0,1,0,1
GOV/MI SNYDER LINDA THALER,gBwLtJqM2p4,30,0,0,1,0,0,0,1,0,0
GOV/MI SNYDER LINDA THALER,gBwLtJqM2p4,30,0,0,1,0,0,0,1,0,0
GOV/MI SNYDER LINDA THALER,gBwLtJqM2p4,30,0,0,1,0,0,0,1,0,0
GOV/MI SNYDER LINDA THALER,gBwLtJqM2p4,30,0,0,1,0,0,0,1,0,0
GOV/MI SNYDER LINDA THALER,gBwLtJqM2p4,30,1,0,0,0,0,0,1,0,0
GOV/MN DAYTON SEE IT HERE,PcKH8pDQ9Ns,30,0,0,1,0,0,0,1,0,1
GOV/MN DAYTON SEE IT HERE,PcKH8pDQ9Ns,30,0,0,1,0,0,0,1,0,1
GOV/MN DAYTON SEE IT HERE,PcKH8pDQ9Ns,30,0,0,1,0,0,0,1,0,1
GOV/MN DAYTON SEE IT HERE,PcKH8pDQ9Ns,30,0,0,1,0,0,0,1,0,1
GOV/MN DAYTON SEE IT HERE,PcKH8pDQ9Ns,30,0,0,1,0,0,0,1,0,1
GOV/MS BRYANT OPTIMISTIC,v_3ZTnwZ40s,30,0,0,1,0,0,0,1,0,0
GOV/MS BRYANT OPTIMISTIC,v_3ZTnwZ40s,30,0,0,1,0,0,0,1,0,0
GOV/MS BRYANT OPTIMISTIC,v_3ZTnwZ40s,30,0,0,1,0,0,0,1,0,0
GOV/MS BRYANT OPTIMISTIC,v_3ZTnwZ40s,30,0,0,1,0,0,0,1,0,0
GOV/MS BRYANT OPTIMISTIC,v_3ZTnwZ40s,30,0,0,1,0,0,0,1,0,0
GOV/MT HILL POLITICAL NOISE,GIMlvGFz1Mg,30,0,0,1,0,0,1,1,0,1
GOV/MT HILL POLITICAL NOISE,GIMlvGFz1Mg,30,0,0,1,0,0,1,1,0,1
GOV/MT HILL POLITICAL NOISE,GIMlvGFz1Mg,30,0,0,1,0,0,1,1,0,1
GOV/MT HILL POLITICAL NOISE,GIMlvGFz1Mg,30,0,0,1,0,0,1,1,0,1
GOV/MT HILL POLITICAL NOISE,GIMlvGFz1Mg,30,0,0,1,0,0,1,1,0,1
GOV/ND DALRYMPLE A UNIQUE TIME,vwQRywEQE54,30,0,0,1,0,0,1,1,0,1
GOV/ND DALRYMPLE A UNIQUE TIME,vwQRywEQE54,30,0,0,1,0,0,1,1,0,1
GOV/ND DALRYMPLE A UNIQUE TIME,vwQRywEQE54,30,0,0,1,0,0,1,1,0,1
GOV/ND DALRYMPLE A UNIQUE TIME,vwQRywEQE54,30,0,0,1,0,0,1,1,0,1
GOV/ND DALRYMPLE A UNIQUE TIME,vwQRywEQE54,30,0,0,1,0,0,1,1,0,1
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,30,0,0,1,0,0,0,1,0,0
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,30,0,0,1,0,0,0,1,0,0
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,30,0,0,1,0,0,0,1,0,0
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,30,0,0,1,0,0,0,1,0,0
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,30,0,0,1,0,0,0,1,0,0
GOV/NE HASSEBROOK GREW UP,i74cakBriCg,30,0,0,1,0,0,0,1,0,0
GOV/NE HASSEBROOK GREW UP,i74cakBriCg,30,0,0,1,0,0,0,1,0,0
GOV/NE HASSEBROOK GREW UP,i74cakBriCg,30,0,0,1,0,0,0,1,0,0
GOV/NE HASSEBROOK GREW UP,i74cakBriCg,30,0,0,1,0,0,0,1,0,0
GOV/NE HASSEBROOK GREW UP,i74cakBriCg,30,0,0,1,0,0,0,1,0,0
GOV/NE HASSEBROOK VIOLENT CRIMINALS,88L17_tJR1c,30,0,1,0,0,1,1,0,0,1
GOV/NE HASSEBROOK VIOLENT CRIMINALS,88L17_tJR1c,30,0,1,1,0,1,1,0,0,1
GOV/NE HASSEBROOK VIOLENT CRIMINALS,88L17_tJR1c,30,0,1,0,0,1,1,0,0,1
GOV/NE HASSEBROOK VIOLENT CRIMINALS,88L17_tJR1c,30,0,1,1,0,1,1,0,0,1
GOV/NE HASSEBROOK VIOLENT CRIMINALS,88L17_tJR1c,30,0,0,0,1,1,1,0,0,1
GOV/NJ CHRISTIE AN EXAMPLE,DaPbsxFzYgY,30,0,0,1,0,0,0,1,0,1
GOV/NJ CHRISTIE AN EXAMPLE,DaPbsxFzYgY,30,0,0,1,0,0,0,1,0,1
GOV/NJ CHRISTIE AN EXAMPLE,DaPbsxFzYgY,30,0,0,1,0,0,0,1,0,1
GOV/NJ CHRISTIE AN EXAMPLE,DaPbsxFzYgY,30,0,0,1,0,0,0,1,0,1
GOV/NJ CHRISTIE AN EXAMPLE,DaPbsxFzYgY,30,0,0,1,0,0,0,1,0,1
GOV/NJ CHRISTIE STAR LEGDER,YmiDiLoqryU,30,0,1,0,0,1,0,0,1,1
GOV/NJ CHRISTIE STAR LEGDER,YmiDiLoqryU,30,0,0,1,1,1,0,0,1,1
GOV/NJ CHRISTIE STAR LEGDER,YmiDiLoqryU,30,0,1,1,0,1,0,0,1,1
GOV/NJ CHRISTIE STAR LEGDER,YmiDiLoqryU,30,0,1,0,0,1,0,0,1,1
GOV/NJ CHRISTIE STAR LEGDER,YmiDiLoqryU,30,0,1,1,1,1,0,0,1,1
GOV/NM MARTINEZ CON MAN,ja5SsdEOCmw,30,0,1,0,1,1,1,0,0,1
GOV/NM MARTINEZ CON MAN,ja5SsdEOCmw,30,0,1,0,0,1,1,0,0,1
GOV/NM MARTINEZ CON MAN,ja5SsdEOCmw,30,0,1,0,0,1,1,0,0,1
GOV/NM MARTINEZ CON MAN,ja5SsdEOCmw,30,0,1,0,0,1,1,0,0,1
GOV/NM MARTINEZ CON MAN,ja5SsdEOCmw,30,0,1,0,0,1,1,0,0,1
GOV/NM MARTINEZ FALSE,b8rogjXPJGQ,30,0,1,1,0,1,1,1,0,1
GOV/NM MARTINEZ FALSE,b8rogjXPJGQ,30,0,1,0,0,1,1,1,0,1
GOV/NM MARTINEZ FALSE,b8rogjXPJGQ,30,0,1,0,0,1,1,1,0,1
GOV/NM MARTINEZ FALSE,b8rogjXPJGQ,30,0,1,1,0,1,1,1,0,1
GOV/NM MARTINEZ FALSE,b8rogjXPJGQ,30,0,1,1,1,1,1,1,0,1
GOV/NM MARTINEZ POLITICIAN GARY KING,9eLzD_DTJJ0,30,0,1,0,0,1,1,1,0,1
GOV/NM MARTINEZ POLITICIAN GARY KING,9eLzD_DTJJ0,30,0,1,0,0,1,1,1,0,1
GOV/NM MARTINEZ POLITICIAN GARY KING,9eLzD_DTJJ0,30,0,1,0,0,1,1,1,0,1
GOV/NM MARTINEZ POLITICIAN GARY KING,9eLzD_DTJJ0,30,0,1,0,0,1,1,1,0,1
GOV/NM MARTINEZ POLITICIAN GARY KING,9eLzD_DTJJ0,30,0,0,0,1,1,1,1,0,1
GOV/NM MARTINEZ TAX INCREASE,NNwJAO-81B0,30,0,1,0,0,1,1,1,0,1
