creative,uid,issue,desc,mturk,pred
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,issue16,Business,0,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,issue16,Business,0,0
GOV/CT FOLEY HAD HIS CHANCE,6bKVq7BNhTU,issue16,Business,1,1
GOV/CT FOLEY HAD HIS CHANCE,6bKVq7BNhTU,issue16,Business,1,1
GOV/CT FOLEY HAD HIS CHANCE,6bKVq7BNhTU,issue16,Business,0,1
GOV/CT FOLEY HAD HIS CHANCE,6bKVq7BNhTU,issue16,Business,0,1
GOV/CT FOLEY HAD HIS CHANCE,6bKVq7BNhTU,issue16,Business,0,1
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,mention4,Change,0,1
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,mention4,Change,0,1
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,mention4,Change,1,1
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,mention4,Change,1,1
GOV/GA CARTER CAPITOL TODAY,8VjivaNnYvA,mention4,Change,1,1
GOV/GA CARTER FALSE NEGATIVE ADS,X5ukgiCrxZI,mention3,Hope,1,1
GOV/GA CARTER FALSE NEGATIVE ADS,X5ukgiCrxZI,mention3,Hope,0,1
GOV/GA CARTER FALSE NEGATIVE ADS,X5ukgiCrxZI,mention3,Hope,1,1
GOV/GA CARTER FALSE NEGATIVE ADS,X5ukgiCrxZI,mention3,Hope,0,1
GOV/GA CARTER FALSE NEGATIVE ADS,X5ukgiCrxZI,mention3,Hope,0,1
GOV/GA DEAL DAWN PUGH JUSTUS,jdpAaBhqILA,issue50,Education,1,0
GOV/GA DEAL DAWN PUGH JUSTUS,jdpAaBhqILA,issue50,Education,0,0
GOV/GA DEAL DAWN PUGH JUSTUS,jdpAaBhqILA,issue50,Education,0,0
GOV/GA DEAL DAWN PUGH JUSTUS,jdpAaBhqILA,issue50,Education,1,0
GOV/GA DEAL DAWN PUGH JUSTUS,jdpAaBhqILA,issue50,Education,0,0
GOV/GA DEAL NUMBER ONE,eo5jpm_x-pk,issue23,Inequality,0,0
GOV/GA DEAL NUMBER ONE,eo5jpm_x-pk,issue23,Inequality,0,0
GOV/GA DEAL NUMBER ONE,eo5jpm_x-pk,issue23,Inequality,0,0
GOV/GA DEAL NUMBER ONE,eo5jpm_x-pk,issue23,Inequality,0,0
GOV/GA DEAL NUMBER ONE,eo5jpm_x-pk,issue23,Inequality,0,0
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,issue50,Education,1,1
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,issue50,Education,1,1
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,issue50,Education,1,1
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,issue50,Education,1,1
GOV/GA DEAL ON THE MOVE,LEvUuFpqCHU,issue50,Education,1,1
GOV/GA DEAL SANDRA DEAL,mafaglOeiIE,mention3,Hope,1,1
GOV/GA DEAL SANDRA DEAL,mafaglOeiIE,mention3,Hope,1,1
GOV/GA DEAL SANDRA DEAL,mafaglOeiIE,mention3,Hope,1,1
GOV/GA DEAL SANDRA DEAL,mafaglOeiIE,mention3,Hope,0,1
GOV/GA DEAL SANDRA DEAL,mafaglOeiIE,mention3,Hope,0,1
GOV/HI AIONA CATHERINE,KW5McP2Mei8,mention4,Change,1,1
GOV/HI AIONA CATHERINE,KW5McP2Mei8,mention4,Change,1,1
GOV/HI AIONA CATHERINE,KW5McP2Mei8,mention4,Change,1,1
GOV/HI AIONA CATHERINE,KW5McP2Mei8,mention4,Change,1,1
GOV/HI AIONA CATHERINE,KW5McP2Mei8,mention4,Change,1,1
GOV/HI AIONA VISION,fGTkaZZ6zWY,issue16,Business,1,1
GOV/HI AIONA VISION,fGTkaZZ6zWY,issue16,Business,1,1
GOV/HI AIONA VISION,fGTkaZZ6zWY,issue16,Business,1,1
GOV/HI AIONA VISION,fGTkaZZ6zWY,issue16,Business,1,1
GOV/HI AIONA VISION,fGTkaZZ6zWY,issue16,Business,1,1
GOV/HI IGE RIGHT REASONS,4nzTHv2nsAk,issue22,Economy,1,1
GOV/HI IGE RIGHT REASONS,4nzTHv2nsAk,issue22,Economy,1,1
GOV/HI IGE RIGHT REASONS,4nzTHv2nsAk,issue22,Economy,1,1
GOV/HI IGE RIGHT REASONS,4nzTHv2nsAk,issue22,Economy,0,1
GOV/HI IGE RIGHT REASONS,4nzTHv2nsAk,issue22,Economy,1,1
GOV/IA BRANSTAD FOUR YEARS AGO,AE43YL6DdLg,demsen,Harry Reid,0,0
GOV/IA BRANSTAD FOUR YEARS AGO,AE43YL6DdLg,demsen,Harry Reid,0,0
GOV/IA BRANSTAD FOUR YEARS AGO,AE43YL6DdLg,demsen,Harry Reid,0,0
GOV/IA BRANSTAD FOUR YEARS AGO,AE43YL6DdLg,demsen,Harry Reid,0,0
GOV/IA BRANSTAD FOUR YEARS AGO,AE43YL6DdLg,demsen,Harry Reid,0,0
GOV/IA BRANSTAD GETS RESULTS,PMSiW2oJojs,issue72,Iran,0,0
GOV/IA BRANSTAD GETS RESULTS,PMSiW2oJojs,issue72,Iran,0,0
GOV/IA BRANSTAD GETS RESULTS,PMSiW2oJojs,issue72,Iran,0,0
GOV/IA BRANSTAD GETS RESULTS,PMSiW2oJojs,issue72,Iran,0,0
GOV/IA BRANSTAD GETS RESULTS,PMSiW2oJojs,issue72,Iran,0,0
GOV/IA BRANSTAD GOOD THINGS,xfZbG0VXVMg,issue98,Government Regulation,0,1
GOV/IA BRANSTAD GOOD THINGS,xfZbG0VXVMg,issue98,Government Regulation,1,1
GOV/IA BRANSTAD GOOD THINGS,xfZbG0VXVMg,issue98,Government Regulation,1,1
GOV/IA BRANSTAD GOOD THINGS,xfZbG0VXVMg,issue98,Government Regulation,1,1
GOV/IA BRANSTAD GOOD THINGS,xfZbG0VXVMg,issue98,Government Regulation,0,1
GOV/IA BRANSTAD KIM REYNOLDS,hfKz7qx9TN8,demhse,Nancy Pelosi,0,0
GOV/IA BRANSTAD KIM REYNOLDS,hfKz7qx9TN8,demhse,Nancy Pelosi,0,0
GOV/IA BRANSTAD KIM REYNOLDS,hfKz7qx9TN8,demhse,Nancy Pelosi,0,0
GOV/IA BRANSTAD KIM REYNOLDS,hfKz7qx9TN8,demhse,Nancy Pelosi,0,0
GOV/IA BRANSTAD KIM REYNOLDS,hfKz7qx9TN8,demhse,Nancy Pelosi,0,0
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,issue18,Employment/Jobs,1,0
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,issue18,Employment/Jobs,1,0
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,issue18,Employment/Jobs,0,0
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,issue18,Employment/Jobs,1,0
GOV/IA HATCH THERE ARE TWO,ssFYV7z3F9Y,issue18,Employment/Jobs,1,0
GOV/IL QUINN GARY MANIER,I8PrSOKUsU8,issue10,Tax,0,1
GOV/IL QUINN GARY MANIER,I8PrSOKUsU8,issue10,Tax,0,1
GOV/IL QUINN GARY MANIER,I8PrSOKUsU8,issue10,Tax,0,1
GOV/IL QUINN GARY MANIER,I8PrSOKUsU8,issue10,Tax,0,1
GOV/IL QUINN GARY MANIER,I8PrSOKUsU8,issue10,Tax,0,1
GOV/IL QUINN HOMEBANC MORTGAGE,ZtW1S2nEAE4,issue10,Tax,1,1
GOV/IL QUINN HOMEBANC MORTGAGE,ZtW1S2nEAE4,issue10,Tax,1,1
GOV/IL QUINN HOMEBANC MORTGAGE,ZtW1S2nEAE4,issue10,Tax,0,1
GOV/IL QUINN HOMEBANC MORTGAGE,ZtW1S2nEAE4,issue10,Tax,0,1
GOV/IL QUINN HOMEBANC MORTGAGE,ZtW1S2nEAE4,issue10,Tax,1,1
GOV/IL QUINN OUTRIGHT LIES,EnjpPE7H-Y8,issue55,Medicare,0,0
GOV/IL QUINN OUTRIGHT LIES,EnjpPE7H-Y8,issue55,Medicare,0,0
GOV/IL QUINN OUTRIGHT LIES,EnjpPE7H-Y8,issue55,Medicare,0,0
GOV/IL QUINN OUTRIGHT LIES,EnjpPE7H-Y8,issue55,Medicare,0,0
GOV/IL QUINN OUTRIGHT LIES,EnjpPE7H-Y8,issue55,Medicare,0,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,democrats,Democrats,1,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,democrats,Democrats,1,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,democrats,Democrats,0,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,democrats,Democrats,1,0
GOV/IL RAUNER WE KNEW,nq6kpeYpwHI,democrats,Democrats,1,0
GOV/IN GREGG LOOK OUT FOR EACH OTHER,9uMT9YrEZiI,issue98,Government Regulation,0,0
GOV/IN GREGG LOOK OUT FOR EACH OTHER,9uMT9YrEZiI,issue98,Government Regulation,0,0
GOV/IN GREGG LOOK OUT FOR EACH OTHER,9uMT9YrEZiI,issue98,Government Regulation,0,0
GOV/IN GREGG LOOK OUT FOR EACH OTHER,9uMT9YrEZiI,issue98,Government Regulation,0,0
GOV/IN GREGG LOOK OUT FOR EACH OTHER,9uMT9YrEZiI,issue98,Government Regulation,0,0
GOV/IN PENCE HOMETOWN,hadh_-XjdFM,mention4,Change,0,1
GOV/IN PENCE HOMETOWN,hadh_-XjdFM,mention4,Change,0,1
GOV/IN PENCE HOMETOWN,hadh_-XjdFM,mention4,Change,0,1
GOV/IN PENCE HOMETOWN,hadh_-XjdFM,mention4,Change,0,1
GOV/IN PENCE HOMETOWN,hadh_-XjdFM,mention4,Change,0,1
GOV/IN PENCE ROADMAP FOR INDIANA,3-GQlYpxNug,issue18,Employment/Jobs,1,0
GOV/IN PENCE ROADMAP FOR INDIANA,3-GQlYpxNug,issue18,Employment/Jobs,1,0
GOV/IN PENCE ROADMAP FOR INDIANA,3-GQlYpxNug,issue18,Employment/Jobs,1,0
GOV/IN PENCE ROADMAP FOR INDIANA,3-GQlYpxNug,issue18,Employment/Jobs,0,0
GOV/IN PENCE ROADMAP FOR INDIANA,3-GQlYpxNug,issue18,Employment/Jobs,0,0
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,issue10,Tax,1,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,issue10,Tax,0,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,issue10,Tax,1,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,issue10,Tax,1,1
GOV/KY BESHEAR LEADING BY EXAMPLE,kqDYjfC3YTU,issue10,Tax,1,1
GOV/MD HOGAN&RUTHERFORD JAYMI STERLING,O6XAIGAIWsM,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD JAYMI STERLING,O6XAIGAIWsM,mention4,Change,1,1
GOV/MD HOGAN&RUTHERFORD JAYMI STERLING,O6XAIGAIWsM,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD JAYMI STERLING,O6XAIGAIWsM,mention4,Change,1,1
GOV/MD HOGAN&RUTHERFORD JAYMI STERLING,O6XAIGAIWsM,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,issue63,Foreign Aid,0,0
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,issue63,Foreign Aid,0,0
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,issue63,Foreign Aid,0,0
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,issue63,Foreign Aid,0,0
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,issue63,Foreign Aid,0,0
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,mention4,Change,1,1
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,mention4,Change,1,1
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD PROFESSIONAL POLITICIAN,5Jg2wOFYQ_0,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,issue53,Healthcare,1,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,issue53,Healthcare,1,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,issue53,Healthcare,1,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,issue53,Healthcare,1,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,issue53,Healthcare,1,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,mention4,Change,0,1
GOV/MD HOGAN&RUTHERFORD PROUD,BUNP7h8QsyQ,mention4,Change,0,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue50,Education,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue50,Education,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue50,Education,0,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue50,Education,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue50,Education,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue57,Welfare,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue57,Welfare,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue57,Welfare,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue57,Welfare,1,1
GOV/ME LEPAGE KEEP,85tS6kA8MoI,issue57,Welfare,1,1
GOV/MI SNYDER NEXT FEW DAYS,2n2_U-9KxPY,reagan,Ronald Reagan,0,0
GOV/MI SNYDER NEXT FEW DAYS,2n2_U-9KxPY,reagan,Ronald Reagan,0,0
GOV/MI SNYDER NEXT FEW DAYS,2n2_U-9KxPY,reagan,Ronald Reagan,0,0
GOV/MI SNYDER NEXT FEW DAYS,2n2_U-9KxPY,reagan,Ronald Reagan,0,0
GOV/MI SNYDER NEXT FEW DAYS,2n2_U-9KxPY,reagan,Ronald Reagan,0,0
GOV/MN DAYTON ONE MINUTE,TVvFQX3BoL4,issue16,Business,1,1
GOV/MN DAYTON ONE MINUTE,TVvFQX3BoL4,issue16,Business,0,1
GOV/MN DAYTON ONE MINUTE,TVvFQX3BoL4,issue16,Business,0,1
GOV/MN DAYTON ONE MINUTE,TVvFQX3BoL4,issue16,Business,0,1
GOV/MN DAYTON ONE MINUTE,TVvFQX3BoL4,issue16,Business,1,1
GOV/MN JOHNSON UNAWARE,Gvn5qJOyUxk,issue15,Farming,1,1
GOV/MN JOHNSON UNAWARE,Gvn5qJOyUxk,issue15,Farming,1,1
GOV/MN JOHNSON UNAWARE,Gvn5qJOyUxk,issue15,Farming,0,1
GOV/MN JOHNSON UNAWARE,Gvn5qJOyUxk,issue15,Farming,1,1
GOV/MN JOHNSON UNAWARE,Gvn5qJOyUxk,issue15,Farming,0,1
GOV/MT HILL BEAT POLIO,KFNeBbqBnYM,mention5,Experience,0,0
GOV/MT HILL BEAT POLIO,KFNeBbqBnYM,mention5,Experience,0,0
GOV/MT HILL BEAT POLIO,KFNeBbqBnYM,mention5,Experience,0,0
GOV/MT HILL BEAT POLIO,KFNeBbqBnYM,mention5,Experience,0,0
GOV/MT HILL BEAT POLIO,KFNeBbqBnYM,mention5,Experience,0,0
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,issue50,Education,1,1
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,issue50,Education,1,1
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,issue50,Education,1,1
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,issue50,Education,1,1
GOV/ND DALRYMPLE HELPED OUR SCHOOLS,Sazk4skZ8kE,issue50,Education,1,1
GOV/NE HASSEBROOK ONCE AGAIN,4Q3Ty5gdLkc,mention6,Liberal,0,0
GOV/NE HASSEBROOK ONCE AGAIN,4Q3Ty5gdLkc,mention6,Liberal,0,0
GOV/NE HASSEBROOK ONCE AGAIN,4Q3Ty5gdLkc,mention6,Liberal,0,0
GOV/NE HASSEBROOK ONCE AGAIN,4Q3Ty5gdLkc,mention6,Liberal,0,0
GOV/NE HASSEBROOK ONCE AGAIN,4Q3Ty5gdLkc,mention6,Liberal,0,0
GOV/NJ CHRISTIE WHICH CANDIDATE RAISED TAXES,g-TIjF_r7aQ,issue11,Deficit/Budget/Debt,1,1
GOV/NJ CHRISTIE WHICH CANDIDATE RAISED TAXES,g-TIjF_r7aQ,issue11,Deficit/Budget/Debt,1,1
GOV/NJ CHRISTIE WHICH CANDIDATE RAISED TAXES,g-TIjF_r7aQ,issue11,Deficit/Budget/Debt,1,1
GOV/NJ CHRISTIE WHICH CANDIDATE RAISED TAXES,g-TIjF_r7aQ,issue11,Deficit/Budget/Debt,1,1
GOV/NJ CHRISTIE WHICH CANDIDATE RAISED TAXES,g-TIjF_r7aQ,issue11,Deficit/Budget/Debt,1,1
GOV/NM MARTINEZ GOOD TO BE KING,vot33X64Jx0,issue61,Foreign Policy,0,0
GOV/NM MARTINEZ GOOD TO BE KING,vot33X64Jx0,issue61,Foreign Policy,0,0
GOV/NM MARTINEZ GOOD TO BE KING,vot33X64Jx0,issue61,Foreign Policy,0,0
GOV/NM MARTINEZ GOOD TO BE KING,vot33X64Jx0,issue61,Foreign Policy,0,0
GOV/NM MARTINEZ GOOD TO BE KING,vot33X64Jx0,issue61,Foreign Policy,0,0
GOV/NY CUOMO BROKEN GOVERNMENT 60 REV,Nxse--YZqnI,democrats,Democrats,1,1
GOV/NY CUOMO BROKEN GOVERNMENT 60 REV,Nxse--YZqnI,democrats,Democrats,1,1
GOV/NY CUOMO BROKEN GOVERNMENT 60 REV,Nxse--YZqnI,democrats,Democrats,1,1
GOV/NY CUOMO BROKEN GOVERNMENT 60 REV,Nxse--YZqnI,democrats,Democrats,1,1
GOV/NY CUOMO BROKEN GOVERNMENT 60 REV,Nxse--YZqnI,democrats,Democrats,1,1
GOV/NY CUOMO RESULTS ARE IN,juFyMC_BEC4,issue11,Deficit/Budget/Debt,1,1
GOV/NY CUOMO RESULTS ARE IN,juFyMC_BEC4,issue11,Deficit/Budget/Debt,1,1
GOV/NY CUOMO RESULTS ARE IN,juFyMC_BEC4,issue11,Deficit/Budget/Debt,1,1
GOV/NY CUOMO RESULTS ARE IN,juFyMC_BEC4,issue11,Deficit/Budget/Debt,1,1
GOV/NY CUOMO RESULTS ARE IN,juFyMC_BEC4,issue11,Deficit/Budget/Debt,1,1
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,mention4,Change,1,1
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,mention4,Change,0,1
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,mention4,Change,1,1
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,mention4,Change,0,1
GOV/NY CUOMO&HOCHUL JOANIE MAHONEY,O5Y78KSFpF8,mention4,Change,1,1
GOV/NY CUOMO&HOCHUL ON THE MOVE,FqEpZbxkZXI,mention3,Hope,0,0
GOV/NY CUOMO&HOCHUL ON THE MOVE,FqEpZbxkZXI,mention3,Hope,0,0
GOV/NY CUOMO&HOCHUL ON THE MOVE,FqEpZbxkZXI,mention3,Hope,0,0
GOV/NY CUOMO&HOCHUL ON THE MOVE,FqEpZbxkZXI,mention3,Hope,0,0
GOV/NY CUOMO&HOCHUL ON THE MOVE,FqEpZbxkZXI,mention3,Hope,0,0
GOV/OH KASICH BOTH OF MY PARENTS,Q-9ZvNP1yDQ,mention3,Hope,1,1
GOV/OH KASICH BOTH OF MY PARENTS,Q-9ZvNP1yDQ,mention3,Hope,1,1
GOV/OH KASICH BOTH OF MY PARENTS,Q-9ZvNP1yDQ,mention3,Hope,1,1
GOV/OH KASICH BOTH OF MY PARENTS,Q-9ZvNP1yDQ,mention3,Hope,1,1
GOV/OH KASICH BOTH OF MY PARENTS,Q-9ZvNP1yDQ,mention3,Hope,1,1
GOV/OH KASICH GREW UP,BBjenf2sDLA,issue35,Gambling,0,0
GOV/OH KASICH GREW UP,BBjenf2sDLA,issue35,Gambling,0,0
GOV/OH KASICH GREW UP,BBjenf2sDLA,issue35,Gambling,0,0
GOV/OH KASICH GREW UP,BBjenf2sDLA,issue35,Gambling,0,0
GOV/OH KASICH GREW UP,BBjenf2sDLA,issue35,Gambling,0,0
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,issue83,Energy,0,1
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,issue83,Energy,0,1
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,issue83,Energy,0,1
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,issue83,Energy,0,1
GOV/OR KITZHABER MORE WE KNOW,b_5MxIAThDA,issue83,Energy,0,1
GOV/PA WOLF WE BUILD,Eh4cdyCWZL8,issue51,Lottery for Education,0,0
GOV/PA WOLF WE BUILD,Eh4cdyCWZL8,issue51,Lottery for Education,0,0
GOV/PA WOLF WE BUILD,Eh4cdyCWZL8,issue51,Lottery for Education,0,0
GOV/PA WOLF WE BUILD,Eh4cdyCWZL8,issue51,Lottery for Education,0,0
GOV/PA WOLF WE BUILD,Eh4cdyCWZL8,issue51,Lottery for Education,0,0
GOV/RI FUNG 38 STUDIOS,KcPC9qzHtKQ,issue10,Tax,1,1
GOV/RI FUNG 38 STUDIOS,KcPC9qzHtKQ,issue10,Tax,1,1
GOV/RI FUNG 38 STUDIOS,KcPC9qzHtKQ,issue10,Tax,1,1
GOV/RI FUNG 38 STUDIOS,KcPC9qzHtKQ,issue10,Tax,1,1
GOV/RI FUNG 38 STUDIOS,KcPC9qzHtKQ,issue10,Tax,1,1
GOV/SC HALEY FOR YEARS,CKO4NyD-_EU,issue65,China,0,1
GOV/SC HALEY FOR YEARS,CKO4NyD-_EU,issue65,China,1,1
GOV/SC HALEY FOR YEARS,CKO4NyD-_EU,issue65,China,1,1
GOV/SC HALEY FOR YEARS,CKO4NyD-_EU,issue65,China,1,1
GOV/SC HALEY FOR YEARS,CKO4NyD-_EU,issue65,China,1,1
GOV/SC HALEY HUSBAND,sZrMoKn06EM,issue11,Deficit/Budget/Debt,0,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,issue11,Deficit/Budget/Debt,0,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,issue11,Deficit/Budget/Debt,0,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,issue11,Deficit/Budget/Debt,0,0
GOV/SC HALEY HUSBAND,sZrMoKn06EM,issue11,Deficit/Budget/Debt,0,0
GOV/SD DAUGAARD A FEW YEARS AGO 60,x4d2bcOwKO4,issue40,Crime,0,0
GOV/SD DAUGAARD A FEW YEARS AGO 60,x4d2bcOwKO4,issue40,Crime,1,0
GOV/SD DAUGAARD A FEW YEARS AGO 60,x4d2bcOwKO4,issue40,Crime,0,0
GOV/SD DAUGAARD A FEW YEARS AGO 60,x4d2bcOwKO4,issue40,Crime,1,0
GOV/SD DAUGAARD A FEW YEARS AGO 60,x4d2bcOwKO4,issue40,Crime,1,0
