"creative","uid"
"HOUSE/CA24 CAPPS MALDONADO WILL SAY ANYTHING","lGgF8bIfl7k"
"HOUSE/CA24 CAPPS NEWSPAPERS REPORT","A4Nik9niixw"
"HOUSE/CA24 CAPPS OUR CHOICE IS CLEAR","n61X8UQl56M"
"HOUSE/CA24 CAPPS SCHWARZENEGGER SAID JUMP","21Xrbw2g2K0"
"HOUSE/CA24 CAPPS STANDS WITH MIDDLE CLASS FAMILIES","R1nuNWMIuL4"
"HOUSE/CA24 CAPPS THOUGHTFUL AND BIPARTISAN","1Lfrfb6a2MI"
"HOUSE/CA24 CAPPS TRUST","gKsZzd3vbjs"
"HOUSE/CA24 MALDONADO&RNC BAD IDEAS","NoMatch"
"HOUSE/CA24 MALDONADO AMERICA","fLuoY2jj00M"
"HOUSE/CA24 MALDONADO ASK CAPPS","NoMatch"
"HOUSE/CA24 MALDONADO OWN","NoMatch"
"HOUSE/CA24 MALDONADO SAVE JOBS FROM CHINA","NoMatch"
"HOUSE/CA24 MALDONADO SET THE RECORD STRAIGHT","NoMatch"
"HOUSE/CA24 MALDONADO SMALL BUSINESS OWNER AND A MOM","NoMatch"
"HOUSE/CA24 MALDONADO THERE'S A TRAIN COMING","NoMatch"
"HOUSE/CA24 MALDONADO TIME FOR YOU TO DECIDE","NoMatch"
"HOUSE/CA26 BROWNLEY STRICKLAND JUST DOESN'T GET IT","NAI-o6_2LFA"
"HOUSE/CA26 BROWNLEY TROUBLING TIMES FOR WOMEN","NoMatch"
"HOUSE/CA26 STRICKLAND JACQUELYN'S STORY","aNvkHeHO8wE"
"HOUSE/CA26 STRICKLAND LIBERAL BROWNLEY","NoMatch"
"HOUSE/CA26 STRICKLAND OUR HOME","afBHDh_y2DU"
"HOUSE/CA26 STRICKLAND PUTS VENTURA COUNTY FIRST","hYFXxdh_les"
"HOUSE/CA26 STRICKLAND THE CHOICE","NoMatch"
"HOUSE/CA33 BLOOMFIELD NATIONAL DEBT","cCRIMVX30hQ"
"HOUSE/CA33 WAXMAN BLOOMFIELD'S RECORD","4P4AOTy2uGc"
"HOUSE/CA36 BONO-MACK GAS PRICES","CoOGZwZFcl4"
"HOUSE/CA36 BONO-MACK MY DAD","G-1oKLMhiQ4"
"HOUSE/CA36 BONO-MACK RUIZ WALKING IN THE LAND OF GIANTS","mbx1XVof114"
"HOUSE/CA36 BONO-MACK SECURITY","eE_tyFUFvrA"
"HOUSE/CA36 BONO-MACK STOP","XjeGp_M5TPM"
"HOUSE/CA36 BONO-MACK THANKSGIVING","w0v8HJREzqs"
"HOUSE/CA36 BONO-MACK UNIQUE RECORD","ZTmiiS_nP7k"
"HOUSE/CA36 RUIZ ACCURATE PICTURE","Bd_PDArF5TI"
"HOUSE/CA36 RUIZ BONO-MACK DIRTIEST CAMPAIGN I'VE EVER SEEN","YMmilQNoupo"
"HOUSE/CA36 RUIZ BONO-MACK DIRTIEST CAMPAIGN I'VE EVER SEEN REV","NoMatch"
"HOUSE/CA36 RUIZ BONO-MACK HAS CHANGED","W5H0SUnZ5Ik"
"HOUSE/CA36 RUIZ EMERGENCY ROOM","jd6Ge09fgrQ"
"HOUSE/CA36 RUIZ IT TAKES SOME BRASS","NoMatch"
"HOUSE/CA36 RUIZ PATIENTS","wznFhYHSqTk"
"HOUSE/CA36 RUIZ PROTECTING NATIVE AMERICAN","Vh92WQ3aZ0s"
"HOUSE/CA36 RUIZ WHAT'S HAPPENED TO BONO-MACK","qTqL8jRghno"
"HOUSE/CA36 RUIZ WHO'S SIDE","ZhQ18Pwicu0"
"HOUSE/CA38 CAMPOS CERTAINTY CLARITY AND STABILITY 60","NoChannel"
"HOUSE/CA52 BILBRAY&RNC PETERS CUT MEDICARE","NoChannel"
"HOUSE/CA52 BILBRAY BRIANA TERMINAL CANCER","NoChannel"
"HOUSE/CA52 BILBRAY SURFED THESE WATERS","NoChannel"
"HOUSE/CA52 BILBRAY WHISTLEBLOWER EXPOSED PETERS","NoChannel"
"HOUSE/CA52 PETERS&DCCC ANOTHER DAY","jx817_BsT6k"
"HOUSE/CA52 PETERS BILBRAY AFTER TWENTY YEARS","Ra4gY5U3oew"
"HOUSE/CA52 PETERS JOELLE","vcgWX3CA6G8"
"HOUSE/CA52 PETERS KIDS","hsfAyDc63gk"
"HOUSE/CO03 PACE&DCCC NEARBY","ZAY7S6nenic"
"HOUSE/CO03 PACE AMERICAN STEEL","fb1V4-9CCiE"
"HOUSE/CO03 PACE REGULAR DAY","TRiFH3JDZx4"
"HOUSE/CO03 PACE SCORCHED EARTH","l9gutJu7RNg"
"HOUSE/CO03 TIPTON&NRCC MEDICARE PROMISE","PdwZ3juXmd4"
"HOUSE/CO03 TIPTON PACE HURTING SENIORS","LKM8hEYR9sQ"
"HOUSE/CO03 TIPTON PACE LOVES TAXES","2S-la5mNzbM"
"HOUSE/CO03 TIPTON PACE WE KNOW","k9UNQpcFKug"
"HOUSE/CO05 ANDERSON LEGITIMATE RAPE","NoMatch"
"HOUSE/CO06 COFFMAN KATIE'S LAW","WsD2CDI3fnU"
"HOUSE/CO06 COFFMAN MIDDLE CLASS","oDTiUDM2XYE"
"HOUSE/CO06 COFFMAN MIKLOSI'S NEGATIVE CAMPAIGN","NoMatch"
"HOUSE/CO06 COFFMAN PARENTS","t8pVkTVEHtU"
"HOUSE/CO06 COFFMAN SERVICE ABOVE SELF","oRqwSlXRwaM"
"HOUSE/CO06 COFFMAN THE ONLY WAY TO STOP A SERIAL PREDATOR","NoMatch"
"HOUSE/CO06 MIKLOSI&DCCC STEAMROLLING","NoMatch"
"HOUSE/CO06 MIKLOSI THINK YOU KNOW","Pjvo44arN_U"
"HOUSE/CO06 MIKLOSI WHEN","QCsTkaBqrco"
"HOUSE/CO07 COORS CAR","gtqt1NwbV2U"
"HOUSE/CO07 COORS PERLMUTTER'S RECORD IS SIMPLE","OuuXFoxYhSI"
"HOUSE/CO07 COORS PERLMUTTER EXTREME","jlS6MWGfo5Q"
"HOUSE/CO07 COORS PERLMUTTER WORK THE SYSTEM","OEAOZv0XMkg"
"HOUSE/CO07 COORS THAT'S NOT ME","-MtJUPt-Lng"
"HOUSE/CO07 PERLMUTTER&DCCC DIFFERENT IDEA","NoMatch"
"HOUSE/CO07 PERLMUTTER COORS DESPICABLE THINGS","NoMatch"
"HOUSE/CO07 PERLMUTTER COORS MONEY WHERE HIS MOUTH IS","NoMatch"
"HOUSE/CO07 PERLMUTTER DEANNE AND CHAD STORY","Bowl1_miR0A"
"HOUSE/CT02 COURTNEY COMMITMENT","bGN7WhcgJt0"
"HOUSE/CT02 COURTNEY SUBMARINE CONSTRUCTION","JGfNRC-96lk"
"HOUSE/CT05 ESTY&DCCC WALKS THE WALK","NoMatch"
"HOUSE/CT05 ESTY ON THE BACKS OF THE ELDERLY","ScpFc8uqpNc"
"HOUSE/CT05 ESTY RORABACK SMEAR NOT TRUE","5D3gvjEPJ8M"
"HOUSE/CT05 ESTY WHEN WASHINGTON REPUBLICANS CALL","lrVJyrw6ZsA"
"HOUSE/CT05 RORABACK ESTY FALSE ATTACKS","NoMatch"
"HOUSE/CT05 RORABACK ESTY MOVE OUT","NoMatch"
"HOUSE/CT05 RORABACK ESTY TOLD SENIORS","NoMatch"
"HOUSE/CT05 RORABACK SOLUTIONS","NoMatch"
"HOUSE/FL02 LAWSON&DCCC SOUTHERLAND OUT OF TOUCH","naM3SA8Z_fI"
"HOUSE/FL02 LAWSON AT LUNCH TIME","NoMatch"
"HOUSE/FL02 LAWSON LOST EVERYTHING BIO","-4anziJalhA"
"HOUSE/FL02 LAWSON SOUTHERLAND PROMISED TO CHANGE CONGRESS","NoMatch"
"HOUSE/FL02 LAWSON SOUTHERLAND TURNED HIS BACK ON WOMEN","P-QMpvzCsD4"
"HOUSE/FL02 LAWSON TALLAHASSEE DEMOCRAT","-rs8fTDbbC4"
"HOUSE/FL02 SOUTHERLAND&NRCC HAPPY WITH WASHINGTON","NoMatch"
"HOUSE/FL02 SOUTHERLAND&NRCC PEOPLE COME FIRST","NoMatch"
"HOUSE/FL02 SOUTHERLAND&NRCC WE HELP PEOPLE","NoMatch"
"HOUSE/FL02 SOUTHERLAND LAWSON DOWN IN THE POLLS","NoMatch"
"HOUSE/FL02 SOUTHERLAND MEET SAMANTHA","C1KwTMX7yPo"
"HOUSE/FL02 SOUTHERLAND PELOSI LOVES LAWSON","NoMatch"
"HOUSE/FL03 YOHO PIGS AT THE TROUGH REV","HkVG1StqOzQ"
"HOUSE/FL03 YOHO TED'LL DO WHAT'S RIGHT","toOoshlb_X0"
"HOUSE/FL09 GRAYSON LONG RAISE AGE","NoChannel"
"HOUSE/FL09 GRAYSON SOCIAL SECURITY","NoChannel"
"HOUSE/FL09 GRAYSON TAKE ON","NoChannel"
"HOUSE/FL09 GRAYSON TOM LUPO ENDORSEMENT","NoChannel"
"HOUSE/FL10 DEMINGS A LOT OF NOISE OUT THERE","NoChannel"
"HOUSE/FL10 DEMINGS PRAISED","NoChannel"
"HOUSE/FL10 DEMINGS SET ASIDE THE EXCUSES","NoChannel"
"HOUSE/FL10 DEMINGS WEBSTER WATCHLIST","NoChannel"
"HOUSE/FL12  BILIRAKIS WASHINGTON IN GRIDLOCK","UjRJMk1xMAQ"
"HOUSE/FL13 EHRLICH YOUNG HE'S LOST TOUCH","NoChannel"
"HOUSE/FL13 YOUNG FOUGHT TO KEEP MACDILL OPEN","NoChannel"
"HOUSE/FL13 YOUNG YEAR AFTER YEAR","NoChannel"
"HOUSE/FL13 YOUNG YEAR AFTER YEAR REV","NoChannel"
"HOUSE/FL16 BUCHANAN AMERICA'S CAN DO SPIRIT","TnpLH5w-0dY"
"HOUSE/FL16 BUCHANAN FITZGERALD SUPPORTS RAIDING","NoMatch"
"HOUSE/FL16 FITZGERALD&DCCC ABSOLUTELY SICK","R2aWFhhapuo"
"HOUSE/FL16 FITZGERALD MIDDLE CLASS FAMILY LIKE MINE 60","jKpoHdVp9hE"
"HOUSE/FL18 MURPHY&DCCC TWICE","E06Ix1ogPSg"
"HOUSE/FL18 MURPHY AWFUL PICTURE","NoMatch"
"HOUSE/FL18 MURPHY CPA","pilEfJrxNTQ"
"HOUSE/FL18 MURPHY GET RIGHT DOWN TO IT","NoMatch"
"HOUSE/FL18 MURPHY KIDS PLAYGROUND","PbPUUSJluNQ"
"HOUSE/FL18 MURPHY TIME OUT","td1KSZ4yqRw"
"HOUSE/FL18 MURPHY TRUTH BY THE NUMBERS","NoMatch"
"HOUSE/FL18 MURPHY TRUTH ON JOBS","NoMatch"
"HOUSE/FL18 MURPHY WEST FACTS","NoMatch"
"HOUSE/FL18 MURPHY WEST TAKE IT AWAY","NoMatch"
"HOUSE/FL18 MURPHY WEST WRONG FOR WOMEN","NoMatch"
"HOUSE/FL18 WEST ANGELA WEST","obsLfaEtT1A"
"HOUSE/FL18 WEST GREATEST COUNTRY ON EARTH","NoMatch"
"HOUSE/FL18 WEST IRAN THREATENING ISRAEL AND AMERICA","NoMatch"
"HOUSE/FL18 WEST JOBS","NoMatch"
"HOUSE/FL18 WEST JUST GETTING STARTED 60","eqGlutCQNFA"
"HOUSE/FL18 WEST MURPHY'S JOBS PLAN","NoMatch"
"HOUSE/FL18 WEST MURPHY A COWARD","RHK_BPiL7eE"
"HOUSE/FL18 WEST MURPHY CAN'T BE TRUSTED","NoMatch"
"HOUSE/FL18 WEST MURPHY CUT MEDICARE","NoMatch"
"HOUSE/FL18 WEST MURPHY DETAILS SHOCKING","NoMatch"
"HOUSE/FL18 WEST MURPHY IS DESPERATE","NoMatch"
"HOUSE/FL18 WEST MURPHY ISN'T BEING HONEST","NoMatch"
"HOUSE/FL18 WEST MURPHY ISN'T TELLING YOU THE TRUTH","NoMatch"
"HOUSE/FL18 WEST ROBERT DELGADO 60","NoMatch"
"HOUSE/FL18 WEST ROGER DUNSHEE","NoMatch"
"HOUSE/FL18 WEST SENIORS","NoMatch"
"HOUSE/FL18 WEST SHAMEFUL","NoMatch"
"HOUSE/FL18 WEST THAT NIGHT","NoMatch"
"HOUSE/FL18 WEST VETERANS","NoMatch"
"HOUSE/FL18 WEST WE HAVE A RESPONSIBILITY","NoMatch"
"HOUSE/FL18 WEST WE KNOW MURPHY SUPPORTS OBAMACARE","NoMatch"
"HOUSE/FL18 WEST WHO IS PATRICK MURPHY","NoMatch"
"HOUSE/FL19 RADEL AT HOME WE BALANCE OUR BUDGET","NoChannel"
"HOUSE/FL19 ROACH ACTION NOT TALK","NoChannel"
"HOUSE/FL20 TERRY A VOTE FOR DEAD BABIES","NoChannel"
"HOUSE/FL20 TERRY BROKEN SEX TOY","NoChannel"
"HOUSE/FL20 TERRY IS YOUR BABY A PUNISHMENT 15","NoChannel"
"HOUSE/FL20 TERRY MUSLIM TERRORISTS","NoChannel"
"HOUSE/FL22 FRANKEL HASNER NEVER ON OUR SIDE","wq7YNwezcCE"
"HOUSE/FL22 FRANKEL HASNER REAL","HZ5fEh6O-9I"
"HOUSE/FL22 FRANKEL KIDS LEARN BUT NOT LIKE THIS","bM4h8-In52A"
"HOUSE/FL22 FRANKEL MEDICARE FRAUD","gHdaGombNd0"
"HOUSE/FL22 HASNER&NRCC FRANKEL CORRUPTION","L8tNGKF25xs"
"HOUSE/FL22 HASNER FRANKEL GOTTA GO","1qAYbJaapbI"
"HOUSE/FL22 HASNER IT'S ABOUT MATH","LqyHzYn9VkI"
"HOUSE/FL22 HASNER START","v_hIyxRyvXk"
"HOUSE/FL23 HARRINGTON FAILED POLICIES","NoMatch"
"HOUSE/FL23 HARRINGTON FOR OVER THIRTY YEARS","uaNLp6pTl1Q"
"HOUSE/FL23 WASSERMAN-SCHULTZ AS A MOM","UR1ffzg4qOM"
"HOUSE/FL26 RIVERA GARCIA POLITICAL CORRUPTION","NoChannel"
"HOUSE/GA01 KINGSTON BALANCING THE BUDGET","TxnXztOs1xA"
"HOUSE/GA01 KINGSTON HERE'S WHAT PEOPLE ARE SAYING","inUYc5wuU4Y"
"HOUSE/GA01 KINGSTON HOPING FOR A CHANGE","NoMatch"
"HOUSE/GA01 MESSINGER FOCUS RESOURCES","q4EqHA-1lQY"
"HOUSE/GA02 BISHOP I KNOW WHO MY FRIENDS ARE","NoChannel"
"HOUSE/GA02 BISHOP ROBERT WALKER AGENT ORANGE","NoChannel"
"HOUSE/GA02 HOUSE THREE THINGS","NoChannel"
"HOUSE/GA12 ANDERSON&NRCC BARROW LIES","NoChannel"
"HOUSE/GA12 ANDERSON&NRCC BROMANCE","NoChannel"
"HOUSE/GA12 ANDERSON&NRCC YOU DON'T SIT AROUND","NoChannel"
"HOUSE/GA12 ANDERSON BARROW LIES","NoChannel"
"HOUSE/GA12 ANDERSON BROMANCE","NoChannel"
"HOUSE/GA12 ANDERSON YOU DON'T SIT AROUND","NoChannel"
"HOUSE/GA12 BARROW ANDERSON ON TAXES","NoMatch"
"HOUSE/GA12 BARROW CUT WASTEFUL SPENDING","NoMatch"
"HOUSE/GA12 BARROW HOW IS JOHN DIFFERENT","NoMatch"
"HOUSE/GA12 BARROW INSTITUTE","NoMatch"
"HOUSE/GA12 BARROW IS READY TO DEBATE","NoMatch"
"HOUSE/GA12 BARROW MY GUNS","YvR5qTUOTuY"
"HOUSE/GA12 BARROW SINCE I WAS HERE LAST TIME","NoMatch"
"HOUSE/GA12 BARROW SOME PEOPLE LIKE ME","NoMatch"
"HOUSE/GA12 BARROW WHEN","NoMatch"
"HOUSE/GA12 BARROW WOULD NEVER DO THAT","NoMatch"
"HOUSE/GA12 BARROW YOU'RE WORKING HARD","NoMatch"
"HOUSE/HI01 DJOU DAWN","NoChannel"
"HOUSE/HI01 DJOU I BELIEVE","NoChannel"
"HOUSE/HI01 DJOU I BELIEVE REV","NoChannel"
"HOUSE/HI01 DJOU I SEE MY KIDS' FACES","NoChannel"
"HOUSE/HI01 DJOU NEW FEELING OF HOPE AND PROGRESS","NoChannel"
"HOUSE/HI01 DJOU PROUD OF MY SON IN LAW","NoChannel"
"HOUSE/HI01 DJOU STACEY","NoChannel"
"HOUSE/HI01 DJOU THINGS HAVE GOT TO CHANGE","NoChannel"
"HOUSE/HI01 DJOU WORKING TOGETHER 15","NoChannel"
"HOUSE/HI01 HANABUSA DANIEL AKAKA ENDORSEMENT","iJXMR59ZH1A"
"HOUSE/HI01 HANABUSA DEDICATION","8f-E6zOBAw4"
"HOUSE/HI01 HANABUSA SUCH A SPECIAL PLACE","NoMatch"
"HOUSE/HI01 HANABUSA THIS ELECTION IS PIVOTAL","Ll1e4mAKXRQ"
"HOUSE/HI01 HANABUSA VETERANS RECOGNIZE","vbBgfTjbjig"
"HOUSE/HI01 HANABUSA YOUR VOICE","XCX78YyJ1eM"
"HOUSE/IA01 BRALEY BRASS","NoChannel"
"HOUSE/IA01 BRALEY BROOKLYN IOWA","NoChannel"
"HOUSE/IA01 BRALEY GROWING UP","NoChannel"
"HOUSE/IA01 BRALEY GROWING UP 60","NoChannel"
"HOUSE/IA01 BRALEY HAVING A JOB","NoChannel"
"HOUSE/IA01 BRALEY LANGE A LOT OF NEW PLANS","NoChannel"
"HOUSE/IA01 BRALEY LANGE HAS A DIFFERENT PLAN","NoChannel"
"HOUSE/IA01 BRALEY LANGE WOULD END MEDICARE","NoChannel"
"HOUSE/IA01 BRALEY MY DAD","NoChannel"
"HOUSE/IA01 BRALEY NURSING HOME CARE","NoChannel"
"HOUSE/IA01 BRALEY ON TAXES A CLEAR CHOICE","NoChannel"
"HOUSE/IA01 HUGHES IT'S TIME WE KICK","NoChannel"
"HOUSE/IA01 KRAIL INNOCENT BLOOD","NoChannel"
"HOUSE/IA01 LANGE&NRCC BRALEY'S BROKEN PROMISES","NoChannel"
"HOUSE/IA01 LANGE&NRCC BRALEY THE TRUTH","NoChannel"
"HOUSE/IA01 LANGE BRALEY BEING DISHONEST","NoChannel"
"HOUSE/IA01 LANGE BRALEY GUTLESS","NoChannel"
"HOUSE/IA01 LANGE GOING BROKE","NoChannel"
"HOUSE/IA01 LANGE IOWANS DESERVE THE TRUTH","NoChannel"
"HOUSE/IA01 LANGE QUASKY VALUES","NoChannel"
"HOUSE/IA02 ARCHER LOEBSACK GONE TOO FAR","ESewpV1pzV8"
"HOUSE/IA02 ARCHER NEXT GENERATION","q8tZOdGIjHA"
"HOUSE/IA02 AVERSA INNOCENT BLOOD","NoChannel"
"HOUSE/IA02 LOEBSACK&DCCC ARCHER UNFAIR TRADE","q9h6X8BeB-8"
"HOUSE/IA02 LOEBSACK ANOTHER JOB","y4LpqpQ5OY4"
"HOUSE/IA02 LOEBSACK ARCHER WHOA","y4Op6NofnHo"
"HOUSE/IA02 LOEBSACK THEY FOUGHT FOR US","NoMatch"
"HOUSE/IA02 LOEBSACK WHAT'S RIGHT","wGFfUpocfno"
"HOUSE/IA03 BOSWELL DEAL","NoChannel"
"HOUSE/IA03 BOSWELL DEAL CONTINUED","NoChannel"
"HOUSE/IA03 BOSWELL LATHAM MOVED JOBS","NoChannel"
"HOUSE/IA03 BOSWELL NO ONE GETS LEFT BEHIND","NoChannel"
"HOUSE/IA03 BOSWELL WHO WINS WHO LOSES","NoChannel"
"HOUSE/IA03 LATHAM BOSWELL'S RECORD","SXBUTvljJrs"
"HOUSE/IA03 LATHAM BOSWELL ATTACKING","pmmpiq_JKt4"
"HOUSE/IA03 LATHAM BOSWELL LOOK AT HIS RECORD","qG37Cd4ye7A"
